"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW"
"2024/04/18","00267.","A","AL","DHN","DOTHAN","US","18/36",5498,100,"ASPH","EXCELLENT","GRVD",30,"F","B","X","T","HIGH","3RD PARTY SURVEY","2012/06/30",75,105,190,
"2024/04/18","00267.04","H","AL","1AL9","ELBERTA","US","H1",65,65,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00267.6","A","AL","14J","ELBA","US","01/19",3050,75,"ASPH","FAIR","NONE",,"","","","","MED","OWNER","2009/08/24",4,,,
"2024/04/18","00267.7","A","AL","7AL9","ELBERTA","US","18/36",2500,100,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00267.81","A","AL","AL08","ELBERTA","US","17/35",3100,100,"TURF","","NONE",,"","","","","","OWNER","2011/07/13",,,,
"2024/04/18","00269.","A","AL","AL55","ELBERTA","US","09/27",2175,80,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00287.1","A","AL","EDN","ENTERPRISE","US","05/23",5080,100,"ASPH","GOOD","NONE",,"","","","","MED","3RD PARTY SURVEY","2007/07/25",,,,
"2024/04/18","00290.","A","AL","EUF","EUFAULA","US","18/36",5000,100,"ASPH","GOOD","NONE",11,"F","A","X","T","MED","","",,,,
"2024/04/18","00290.08","H","AL","AL00","EUFAULA","US","H1",50,50,"CONC","","NONE",,"","","","","","OWNER","2010/03/30",,,,
"2024/04/18","00293.","A","AL","3A7","EUTAW","US","16/34",3600,80,"ASPH","POOR","NONE",,"","","","","MED","","",,,,
"2024/04/18","00293.01","H","AL","09AL","EUTAW","US","H1",50,50,"CONC","FAIR","NONE",,"","","","","PERI","OWNER","2021/12/01",,,,
"2024/04/18","00296.","A","AL","GZH","EVERGREEN","US","01/19",5005,150,"ASPH","FAIR","NONE",,"","","","","MED","ADO","2012/01/17",,,,
"2024/04/18","00296.","A","AL","GZH","EVERGREEN","US","10/28",5004,150,"ASPH","GOOD","NONE",,"","","","","MED","ADO","2013/03/25",30,50,,
"2024/04/18","00296.01","H","AL","0AL3","EVERGREEN","US","H1",24,24,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00300.3","A","AL","CQF","FAIRHOPE","US","01/19",6604,100,"ASPH","FAIR","GRVD",,"","","","","HIGH","3RD PARTY SURVEY","2007/12/15",36,58,,
"2024/04/18","00302.","A","AL","M95","FAYETTE","US","01/19",5009,80,"ASPH","GOOD","GRVD",10,"F","C","X","T","MED","STATE","2017/12/10",15,,,
"2024/04/18","00302.01","H","AL","3AL0","FAYETTE","US","H1",50,50,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00305.","A","AL","4AL7","FLAT ROCK","US","16/34",2000,100,"TURF","","NONE",,"","","","","","","",,,,
