id,latitude,longitude,source_ref,alt_name,local_ref,wikipedia,icao,wikidata,addr:housenumber,name:fr,addr:state,name:en,type,ref,gnis:feature_type,landuse,ele,gnis:feature_id,operator:type,addr:postcode,gnis:created,military,addr:city,website,name,source,note,name:ru,phone,gnis:county_name,addr:street,operator
357008304,36.8305037,7.813816,,مطار عنابة - رابح بيطاط,,fr:Aéroport d'Annaba - Rabah-Bitat,DABB,Q979270,,Aéroport d'Annaba Rabah Bitat,,Annaba Rabah Bitat Airport,,,,,,,,,,,,,Aéroport d'Annaba Rabah Bitat,IATA;wikipedia;ouraiports.com;Bing,,,,,,مؤسسة تسيير مصالح مطارات الجزائر
357089044,69.5957816,-140.1741667,,,,,CYAJ,,,,,,,,,military,,,,,,airfield,,,Komakuk Beach Airport,,Abandoned,,,,,
357189316,52.1724624,1.1104144,,,,,EGSO,,,,,,,,,,,,,,,,,,Crowfield,OS OpenMap Local,,,,,,
357224365,45.2571272,-79.8297975,,,,,CNK4,,,,,,,,,,,,,,,,,,Parry Sound Area Municipal Airport,ourairports.com,,,,,,
357291750,45.9927561,-122.3805485,geonames.usgs.gov,,,,,Q49748395,,,WA,,,,,,135,1533725,,,,,,,Mount Saint Helen's Aero Ranch Airport,,,,,,,
357315689,-33.3786478,149.5170007,,,,,,,,,,,,AU-0227,,,,,,,,,,https://bathurstgliding.com.au/,Piper's Field,,,,,,,Bathurst Soaring Club
357492574,35.2116493,0.1473356,,,,fr:Aéroport de Ghriss,DAOV,Q2875824,,Aéroport de Mascara Ghriss,,Camp Ghriss Airport,,,,,,,,,,,,,Aéroport de Mascara Ghriss,,,,,,,EGSA d'Oran
357695604,38.6492009,125.7880344,,,,,,Q2875492,,,,Hwangju Airport,,,,military,,,,,,airfield,,,황주비행장,Bing aerial imagery,,,,,,
357828663,33.7220466,1.0926308,,,,fr:Aéroport d'El Bayadh,DAOY,Q2875767,,Aéroport d'El Bayadh - Kssal,,El Bayadh Airport,,,,,,,,,,,,,Aéroport d'El Bayadh - Kssal,,,,,,,EGSA d'Oran
357867127,36.8740837,-101.4450179,,,,,,,,,,,,,,,,,,,,,,,Straight Landing FIeld (disused),,,,,,,
357873645,44.8410891,-87.4194514,,,,en:Door County Cherryland Airport,KSUE,Q1654590,,,WI,Door County Cherryland Airport,public,,,,220,1582226,,,,,,,Door County Cherryland Airport,wikipedia,,,,,,"Door County, Wisconsin"
357881875,35.3223632,4.2058264,,,,fr:Aéroport de Bou Saâda,DAAD,Q2875796,,Aéroport Ain Dis De Bou Saâda,,Ain Dis Bou Saada Airport,,,,,,,,,,,,,Aéroport Ain Dis De Bou Saâda,ourairports.com,,,,,,EGSA d'Alger
357892472,21.3753251,0.9280834,,,,fr:Aéroport de Bordj Badji Mokhtar,DATM,Q2875797,,Aéroport de Bordj Badji Mokhtar,,Bordj Badji Mokhtar Airport,,,,,,,,,,,,,Aéroport de Bordj Badji Mokhtar,,,,,,,EGSA d'Oran
357898644,26.7294834,8.6187033,,مطار إليزي,,ar:مطار إليزي,DAAP,Q2875776,,Aéroport d'Illizi Takhamalt,,Takhamalet Illizi Airport,,,,,,,,,,,,,Aéroport d'Illizi Takhamalt,ourairports.com,,,,,,مؤسسة تسيير مصالح مطارات الجزائر
