airport,minName,minEle,minRunway,minICAO,minIATA,minWebsite,minOSM,LAT,LON
http://www.wikidata.org/entity/Q9071,Capitán de Corbeta Carlos A. Curbelo International Airport,28,01/19,SULS,PDP,http://www.puntadeleste.aero,,-55.094166666,-34.855
http://www.wikidata.org/entity/Q17614,Hooker Creek Airport,316,,YHOO,HOK,,,130.643333333,-18.336666666
http://www.wikidata.org/entity/Q17615,Maningrida Airport,29,,YMGD,MNG,,,134.234166666,-12.056111111
http://www.wikidata.org/entity/Q17616,Snake Bay Airport,50,,YSNB,SNB,,,130.653611111,-11.422777777
http://www.wikidata.org/entity/Q17617,Milingimbi Airport,18,,YMGB,MGT,,,134.893611111,-12.094444444
http://www.wikidata.org/entity/Q17618,Gove Airport,52,,YPGV,GOV,,,136.818333333,-12.27
http://www.wikidata.org/entity/Q17619,Port Keats Airfield,27,,YPKT,PKT,,,129.528333333,-14.248333333
http://www.wikidata.org/entity/Q17620,Garden Point Airport,23,,YGPT,GPN,,,130.425,-11.3992
http://www.wikidata.org/entity/Q17621,Ramingining Airport,66,,YRNG,RAM,,,134.898333333,-12.356666666
http://www.wikidata.org/entity/Q25060,Oued Irara–Krim Belkacem Airport,140,36/18,DAUH,HME,http://www.egsa-alger.dz,,6.140556,31.673889
http://www.wikidata.org/entity/Q25226,Cam Ranh International Airport,43,02L/20R,VVCR,CXR,https://www.nhatrangairport.com,,109.219444444,11.998055555
http://www.wikidata.org/entity/Q373577,Smederevska Palanka Airport,99,,LYSP,SPL,,,20.959630555,44.349947222
http://www.wikidata.org/entity/Q381428,Portimão Airport,2,,LPPM,PRM,,,-8.579722222,37.1475
http://www.wikidata.org/entity/Q381643,Beira Airport,8,06/24,FQBR,BEW,,,34.9075,-19.796388888
http://www.wikidata.org/entity/Q381653,Viracopos International Airport,661,14/32,SBKP,VCP,http://www.viracopos.com/home.html,,-47.134444444,-23.006944444
http://www.wikidata.org/entity/Q381668,Francisco Sarabia International Airport,3688,08/26,MMTC,TRC,http://www.oma.aero/es/aeropuertos/torreon/,,-103.410555555,25.568055555
http://www.wikidata.org/entity/Q381688,Matecaña International Airport,4416,08/26,SKPE,PEI,http://www.aeromate.gov.co/new_site/,,-75.739444444,4.8125
http://www.wikidata.org/entity/Q60910,Milan–Malpensa Airport,768,17L/35R,LIMC,MXP,https://www.milanomalpensa-airport.com,,8.723055555,45.63
http://www.wikidata.org/entity/Q61066,Tribhuvan International Airport,4390,02/20,VNKT,KTM,http://www.tiairport.com.np,,85.357777777,27.697222222
http://www.wikidata.org/entity/Q18565,Leongatha Airport,77,,YLEG,,,,145.86,-38.495
http://www.wikidata.org/entity/Q18566,Mallacoota Airport,26,,YMCO,XMC,,,149.720833333,-37.598888888
http://www.wikidata.org/entity/Q20932,Incheon International Airport,23,15L/33R,RKSI,ICN,http://www.airport.kr/eng/,,126.439166666,37.4625
http://www.wikidata.org/entity/Q24893,Elkhart–Morton County Airport,1104,04/22,KEHA,,,,-101.88,37.000833333
http://www.wikidata.org/entity/Q8977,East Midlands Airport,306,09/27,EGNX,EMA,https://www.eastmidlandsairport.com/,,-1.328055555,52.831111111
http://www.wikidata.org/entity/Q8979,Belfast International Airport,268,07/25,EGAA,BFS,https://www.belfastairport.com/,,-6.215833,54.6575
http://www.wikidata.org/entity/Q8988,Southampton Airport,13,02/20,EGHI,SOU,https://www.southamptonairport.com/,,-1.356666666,50.950277777
http://www.wikidata.org/entity/Q8991,Jersey Airport,84,08/26,EGJJ,JER,https://www.jerseyairport.com/,,-2.195277777,49.208055555
http://www.wikidata.org/entity/Q8992,Glasgow Prestwick Airport,65,03/21,EGPK,PIK,https://www.glasgowprestwick.com/,,-4.594444444,55.509444444
